what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1290741629474
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1290741629589
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1290741629609
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1290741629739
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1290741629814
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1290741629814
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1290741629834
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1290741629889
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1290741629949
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1290741630009
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1290741630079
started,bundle,org.eclipse.equinox.common,3.5.1.R35x_v20090807-1100,"org.eclipse.equinox.common",1290741630144
started,bundle,org.eclipse.equinox.ds,1.1.1.R35x_v20090806,"org.eclipse.equinox.ds",1290741630169
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1290741630239
started,bundle,org.eclipse.equinox.p2.core,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.core",1290741630294
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1290741630354
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1290741630404
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.101.R35x_v20090812,"org.eclipse.equinox.p2.metadata.repository",1290741630459
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1290741630474
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1290741630494
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1290741630509
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1290741630524
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1290741630539
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1290741630589
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1290741630759
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1290741630779
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1290741630849
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1290741630909
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1290741630969
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1290741631059
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1290741631154
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1290741631204
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1290741631254
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1290741631284
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1290741631294
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1290741631314
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1290741631359
os,sysinfo,,,"win32",1290741631364
arch,sysinfo,,,"x86",1290741631364
ws,sysinfo,,,"win32",1290741631364
locale,sysinfo,,,"zh_CN",1290741631364
processors,sysinfo,,,"4",1290741631364
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1290741631364
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1290741631364
java.specification.name,sysinfo,,,"Java Platform API Specification",1290741631364
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1290741631364
java.specification.version,sysinfo,,,"1.6",1290741631364
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1290741631364
java.version,sysinfo,,,"1.6.0_20",1290741631364
java.vm.info,sysinfo,,,"mixed mode, sharing",1290741631364
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1290741631364
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1290741631364
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1290741631364
java.vm.specification.version,sysinfo,,,"1.0",1290741631364
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1290741631364
java.vm.version,sysinfo,,,"16.3-b01",1290741631364
started,bundle,org.zkoss.eclipse.pack,0.9.6.v200912041237,"org.zkoss.eclipse.pack",1290741633029
started,bundle,org.zkoss.eclipse.services,0.9.6.v200912041237,"org.zkoss.eclipse.services",1290741636256
opened,view,org.zkoss.eclipse.services,0.9.6.v200912041237,"org.zkoss.eclipse.services.welcome.views.welcomePage",1290741637956
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1290741638041
activated,view,org.zkoss.eclipse.services,0.9.6.v200912041237,"org.zkoss.eclipse.services.welcome.views.welcomePage",1290741638081
executed,command,org.zkoss.eclipse.services,0.9.6.v200912041237,"org.zkoss.eclipse.services.commands.welcome",1290741638086
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1290741646351
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1290741646366
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1290741646506
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1290741646646
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1290741646696
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1290741646836
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1290741646901
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1290741647191
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1290741647231
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1290741647976
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1290741647996
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1290741648046
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1290741648346
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290741661161
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290741682331
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1290741682336
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1290741682431
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1290741683236
started,bundle,com.google.gdt.eclipse.maven,1.4.0.v201010280047,"com.google.gdt.eclipse.maven",1290741683626
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1290741685211
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290741688936
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290741703541
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1290741703551
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1290741703551
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1290741703656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290741712021
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290741723336
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1290741723341
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1290741723341
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290741727261
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290741730561
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1290741730576
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290741735296
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1290741745321
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1290741745331
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1290741745331
